,corp_code,corp_name,stock_code,modify_date
0,00260985,한빛네트,036720,20170630
1,00264529,엔플렉스,040130,20170630
2,00358545,동서정보기술,055000,20170630
3,00231567,애드모바일,032600,20170630
4,00247939,씨모스,037600,20170630
5,00359614,리더컴,056140,20170630
6,00153551,허메스홀딩스,012400,20170630
7,00344746,유티엑스,045880,20170630
8,00261188,글로포스트,037830,20170630
9,00268020,쏠라엔텍,030390,20170630
10,00269287,보홍,041320,20170630
11,00475286,동북아1호선박투자회사,078420,20170630
12,00250775,에듀아크,046350,20170630
13,00114321,데코,013650,20170630
14,00191108,엘앤씨피,015390,20170630
15,00167378,희훈디앤지,019640,20170630
16,00225210,퓨쳐인포넷,058690,20170630
17,00223346,쓰리디넷,035400,20170630
18,00174129,제일저축은행,024100,20170630
19,00114826,제일창업투자,026540,20170630
20,00173333,현대DSF,016510,20170630
21,00687599,네프로아이티,950030,20170630
22,00256292,자강,036790,20170630
23,00271431,케이엠에스,038830,20170630
24,00154727,에버리소스,020070,20170630
25,00246189,제이에스,037110,20170630
26,00154204,태창기업,007490,20170630
27,00152631,에이치비이에너지,017300,20170630
28,00107923,남한제지,001950,20170630
29,00358095,코어비트,056850,20170630
30,00510215,동북아8호선박투자회사,082110,20170630
31,00347619,한국통신데이타,045760,20170630
32,00372013,케너텍,062730,20170630
33,00353735,다휘,055250,20170630
34,00186540,코오롱아이넷,022520,20170630
35,00128759,캠브리지코오롱,004620,20170630
36,00535588,네오세미테크,089240,20170630
37,00264981,디에이치패션,045260,20170630
38,00231521,핸디소프트,032380,20170630
39,00159908,케이엠에이치,009690,20170630
40,00259493,씨엘엘씨디,035710,20170630
41,00359641,현대푸드시스템,114410,20170630
42,00103325,고제,002540,20170630
43,00161639,메리츠종합금융,012420,20170630
44,00211271,제넥셀세인,034660,20170630
45,00388272,쓰리디월드,065340,20170630
46,00264796,스톰이앤에프,043680,20170630
47,00134909,소예,035010,20170630
48,00236368,엠엔에프씨,048640,20170630
49,00684547,하이트맥주,103150,20170630
50,00251385,보광티에스,066690,20170630
51,00262682,아인스엠앤엠,040740,20170630
52,00234555,씨엔씨엔터프라이즈,038420,20170630
53,00507257,아이알디,084810,20170630
54,00417963,바이나믹,067850,20170630
55,00543523,코크렙제7호위탁관리부동산투자회사,086720,20170630
56,00300566,엔빅스,054170,20170630
57,00299376,선팩테크,054010,20170630
58,00112068,마이크로닉스,001190,20170630
59,00257194,블루스톤디앤아이,033720,20170630
60,00477372,신지소프트,078700,20170630
61,00465410,맥쿼리센트럴오피스기업구조조정부동산투자회사,076850,20170630
62,00331760,테스텍,048510,20170630
63,00200761,중앙디자인,030030,20170630
64,00268297,에코페트로시스템,042870,20170630
65,00161301,한림창업투자,021060,20170630
66,00237260,헤쎄나,036270,20170630
67,00297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,037510,20170630
68,00107358,일공공일안경콘택트,032030,20170630
69,00115427,신동방CP,004660,20170630
70,00267474,지앤알,043630,20170630
71,00134051,셀런,013240,20170630
72,00596066,한국베트남15-1유전해외자원개발투자회사,093820,20170630
73,00347363,에이치원바이오,052310,20170630
74,00150226,씨앤중공업,008400,20170630
75,00152914,FnC코오롱,001370,20170630
76,00158839,제너비오믹스,017010,20170630
77,00159281,케드콤,011050,20170630
78,00210537,지엔텍홀딩스,065410,20170630
79,00240370,동부씨엔아이,044640,20170630
80,00247887,아이피에스,051820,20170630
81,00268358,에스브이에이치,046240,20170630
82,00316488,제이콤,060750,20170630
83,00264130,옥션,043790,20170630
84,00540304,네이쳐글로벌,088020,20170630
85,00617299,GB블루오션베트남주식혼합형투자회사1호,094950,20170630
86,00262275,엠씨티티코어,052210,20170630
87,00200798,에이스앤파트너스,032930,20170630
88,00335924,지앤디윈텍,061050,20170630
89,00111591,인터피온반도체,014010,20170630
90,00189343,솔로몬저축은행,007800,20170630
91,00252588,엠트론스토리지테크놀로지,046320,20170630
92,00267997,에스티앤아이,031800,20170630
93,00367376,사이노젠,064060,20170630
94,00299686,유퍼트,060670,20170630
95,00463050,엑스로드,074140,20170630
96,00238913,선우중공업,068770,20170630
97,00107446,남양,003020,20170630
98,00114303,엘지데이콤,015940,20170630
99,00318617,LG파워콤,045820,20170630
100,00267775,동산진흥,031960,20170630
101,00394574,티이씨,067950,20170630
102,00110176,한국기술산업,008320,20170630
103,00349787,지케이파워,054020,20170630
104,00136554,스타맥스,017050,20170630
105,00144562,유성티에스아이,024870,20170630
106,00370547,네오리소스,058550,20170630
107,00242439,케이알,035950,20170630
108,00134060,씨앤상선,000790,20170630
109,00392600,투미비티,058900,20170630
110,00259855,코아정보시스템,039990,20170630
111,00385451,케이에스리소스,066340,20170630
112,00258944,세계투어,047600,20170630
113,00798530,동양밸류오션기업인수목적,122290,20170630
114,00451268,케이이엔지,077960,20170630
115,00336570,사이버패스,063280,20170630
116,00363325,산양전기,079870,20170630
117,00148188,으뜸상호저축은행,032150,20170630
118,00508566,국제개발,080570,20170630
119,00133928,세신,004230,20170630
120,00540784,골든브릿지더블유엠경매부동산일호투자회사,084160,20170630
121,00298252,엘앤피아너스,061140,20170630
122,00264556,에이스일렉트로닉스,038690,20170630
123,00581000,디앤샵,090090,20170630
124,00359094,더체인지,054120,20170630
125,00686970,다산자기관리부동산투자회사,105380,20170630
126,00255309,써니트렌드,035500,20170630
127,00362380,뉴젠비아이티,054650,20170630
128,00244862,룩소네이트,033880,20170630
129,00301015,한서제약,044070,20170630
130,00297165,현대오토넷,042100,20170630
131,00105767,LG마이크론,016990,20170630
132,00173397,서광건설산업,001600,20170630
133,00259606,플러스프로핏,036660,20170630
134,00178471,한와이어리스,037020,20170630
135,00331733,포휴먼,049690,20170630
136,00104892,알이네트웍스,023670,20170630
137,00647917,케이알제2호개발전문위탁관리부동산투자회사,101790,20170630
138,00597764,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,094520,20170630
139,00355821,씨티엘테크,088960,20170630
140,00329677,이디디컴퍼니,052650,20170630
141,00244871,케이티프리텔,032390,20170630
142,00246383,메카포럼,035830,20170630
143,00345499,에스피코프,048130,20170630
144,00348140,이롬텍,045400,20170630
145,00215107,이앤텍,047450,20170630
146,00106508,기린,006070,20170630
147,00560991,맥스브로,088810,20170630
148,00265263,토자이홀딩스,037700,20170630
149,00142564,우방,013200,20170630
150,00198572,동양매직,023020,20170630
151,00642648,코웰이홀딩스유한공사,900020,20170630
152,00537443,아구스,078670,20170630
153,00113173,대한은박지,007480,20170630
154,00441872,인스프리트,073130,20170630
155,00480844,하이럭스,079340,20170630
156,00262044,트리니티,053070,20170630
157,00101442,카라반케이디이,032570,20170630
158,00295875,더존디지털웨어,045380,20170630
159,00441298,디보스,080140,20170630
160,00263885,포네이처,045290,20170630
161,00475532,테이크시스템즈,076090,20170630
162,00130204,폴켐,033190,20170630
163,00128731,유리이에스,007050,20170630
164,00325981,에프아이투어,047370,20170630
165,00540021,모빌탑,085680,20170630
166,00362089,올리브나인,052970,20170630
167,00228916,디패션,030420,20170630
168,00114215,알덱스,025970,20170630
169,00264103,에이엠에스,044770,20170630
170,00109648,오라바이오틱스,016160,20170630
171,00261212,시노펙스그린테크,037320,20170630
172,00348007,야호커뮤니케이션,059720,20170630
173,00275808,브이케이,048760,20170630
174,00375579,팬택앤큐리텔,063350,20170630
175,00197324,팬텀엔터테인먼트그룹,025460,20170630
176,00339063,삼성수산,052560,20170630
177,00538497,동북아15호선박투자회사,084240,20170630
178,00329084,비엔디,047940,20170630
179,00225140,쌈지,033260,20170630
180,00101947,브이오산업,018890,20170630
181,00287724,코디콤,041800,20170630
182,00347840,제네시스엔알디,052640,20170630
183,00504357,동북아6호선박투자회사,080410,20170630
184,00269339,인네트,041450,20170630
185,00634959,한국월드와이드아시아태평양특별자산1호투자회사,098150,20170630
186,00267094,헤파호프코리아,039350,20170630
187,00142698,휴리프,006210,20170630
188,00350057,하이스마텍,057100,20170630
189,00721981,삼성디지털이미징,108070,20170630
190,00248691,씨제이인터넷,037150,20170630
191,00335562,엠넷미디어,056200,20170630
192,00369675,온미디어,045710,20170630
193,00265078,유니텍전자,039040,20170630
194,00267809,위더스기술금융,019430,20170630
195,00314000,클라스타,037550,20170630
196,00355292,아시아미디어홀딩스,052810,20170630
197,00386557,아이스테이션,056010,20170630
198,00548865,동북아21호선박투자회사,088010,20170630
199,00221320,에이스디지텍,036550,20170630
200,00124054,부산저축은행,007830,20170630
201,00301486,에피밸리,068630,20170630
202,00149248,아세아페이퍼텍,009380,20170630
203,00311298,오페스,053470,20170630
204,00348557,액티투오,047710,20170630
205,00265342,에이치에스씨홀딩스,038920,20170630
206,00156734,한국고덴시,027840,20170630
207,00208693,나리지*온,036850,20170630
208,00128953,프로비타,014420,20170630
209,00428792,제로원인터랙티브,069470,20170630
210,00148744,제일화재해상보험,000610,20170630
211,00518873,동북아9호선박투자회사,083120,20170630
212,00300779,굿이엠지,051530,20170630
213,00397766,아이드림,066850,20170630
214,00174305,조인에너지,004820,20170630
215,00320807,태광이엔시,048140,20170630
216,00106492,렉스엘이앤지,004790,20170630
217,00592583,코리아퍼시픽05호선박투자회사,093400,20170630
218,00275260,엑큐리스,048460,20170630
219,00183914,우경,025920,20170630
220,00481676,세미텍,081220,20170630
221,00104971,그린손해보험,000470,20170630
222,00269773,대양글로벌,040180,20170630
223,00334767,엔하이테크,046720,20170630
224,00453752,제너시스템즈,073930,20170630
225,00140919,엘트온,015050,20170630
226,00255840,태산엘시디,036210,20170630
227,00133034,성원건설,012090,20170630
228,00161028,대우송도개발,004550,20170630
229,00174475,현대금속,018410,20170630
230,00251482,트라이써클,034010,20170630
231,00824659,아이비케이에스스마트에스엠이기업인수목적1호,126680,20170630
232,00259536,네스테크,037540,20170630
233,00505198,동북아5호선박투자회사,080980,20170630
234,00679730,파브코,101990,20170630
235,00803504,우리기업인수목적1호,122750,20170630
236,00350118,뉴젠아이씨티,054150,20170630
237,00352295,인젠,041630,20170630
238,00240088,지앤에스티,036920,20170630
239,00356158,영진코퍼레이션,053330,20170630
240,00560025,코크렙제8호위탁관리부동산투자회사,090540,20170630
241,00140380,유니온스틸,003640,20170630
242,00101275,경남모직,001670,20170630
243,00334493,씨티앤티,050470,20170630
244,00797674,대우증권그린코리아기업인수목적회사,121910,20170630
245,00244589,지노시스템,033850,20170630
246,00802028,한국투자신성장1호기업인수목적회사,123290,20170630
247,00164292,동원데어리푸드,003900,20170630
248,00371519,휴먼텍코리아,066060,20170630
249,00126593,에스에스씨피,071660,20170630
250,00220181,평산,089480,20170630
251,00254009,지디코프,036610,20170630
252,00505541,아시아퍼시픽2호선박투자회사,081190,20170630
253,00240398,무한투자,034510,20170630
254,00828309,동부티에스블랙펄기업인수목적,128910,20170630
255,00349468,블루젬디앤씨,053040,20170630
256,00808262,부국퓨쳐스타즈기업인수목적,123300,20170630
257,00252393,예당컴퍼니,049000,20170630
258,00229818,터보테크,032420,20170630
259,00154189,케이비물산,008540,20170630
260,00680161,연합과기공고유한공사,900030,20170630
261,00102645,글로스텍,012410,20170630
262,00844884,중국고섬공고유한공사,950070,20170630
263,00592592,코리아퍼시픽06호선박투자회사,093410,20170630
264,00268437,나노트로닉스,010670,20170630
265,00798284,미래에셋제1호기업인수목적,121950,20170630
266,00164195,에이원마이크로,037380,20170630
267,00264811,에이프로테크놀로지,045470,20170630
268,00208301,성우몰드,053440,20170630
269,00676380,모린스,110310,20170630
270,00543231,디지텍시스템스,091690,20170630
271,00103121,세븐코스프,017160,20170630
272,00122436,배명금속,011800,20170630
273,00505189,동북아4호선박투자회사,080970,20170630
274,00271413,사라콤,040020,20170630
275,00245296,폴리플러스,065610,20170630
276,00188122,하나물산,036280,20170630
277,00480905,영찬테크,085990,20170630
278,00890333,케이비부국제1호개발전문위탁관리부동산투자회사,149130,20170630
279,00510534,아시아퍼시픽8호선박투자회사,081930,20170630
280,00150855,진흥저축은행,007200,20170630
281,00173634,에듀언스,009010,20170630
282,00830377,성융광전투자유한공사,900150,20170630
283,00224567,샤인시스템,066300,20170630
284,00582054,씨모텍,081090,20170630
285,00125929,에스컴,014900,20170630
286,00502793,아시아퍼시픽1호선박투자회사,080180,20170630
287,00505550,아시아퍼시픽3호선박투자회사,081200,20170630
288,00104704,한국저축은행,025610,20170630
289,00361035,미리넷,056710,20170630
290,00630111,3노드디지탈그룹유한공사,900010,20170630
291,00264802,유일엔시스,038720,20170630
292,00399773,케이피케미칼,064420,20170630
293,00257529,이루넷,041030,20170630
294,00804114,대신증권그로쓰알파기업인수목적,123550,20170630
295,00416706,유에이블,071530,20170630
296,00121251,네오퍼플,028090,20170630
297,00173324,경윤하이드로에너지,019120,20170630
